class,nodes,distance
1,49129076,2778.678
1,49129077,2754.44
1,49129078,2673.16
1,49129080,2563.62
1,49129081,2613.805
1,49129079,2630.163
1,49325749,2706.822
1,49063967,1194.411
1,49063968,1175.045
1,49063972,1103.273
1,49063974,1212.836
1,49063976,1329.181
1,49063977,1416.148
1,49063978,1508.923
1,49063979,1600.296
1,49063980,1691.56
1,49064061,2533.667
1,49064063,2480.033
1,49064064,2396.717
1,49064066,2308.065
1,49064068,2216.789
1,49064069,2133.282
1,49064071,2051.928
1,49064073,1949.905
1,49064075,1848.62
1,49064077,1748.002
1,49064079,1648.112
1,49064080,1615.281
1,49326529,3233.004
1,49261089,1220.984
1,49064984,2606.796
1,49064985,2700.938
1,49064986,2962.732
1,4586122299,1597.817
1,4586122300,1647.537
1,4586122301,1697.197
1,4586122302,1508.889
1,4586122304,1594.896
1,49393037,2762.62
1,49393038,2683.406
1,48934821,2647.24
1,48934822,2622.626
1,49131433,700.017
1,49656032,2829.907
1,49116228,3380.823
1,49116229,3282.346
1,49116231,3197.825
1,49116235,2944.581
1,49116236,2858.684
1,49116238,2776.478
1,49116240,2689.534
1,49116246,2351.447
1,5692633513,2770.966
1,5692633514,2770.699
1,5692633515,2789.15
1,49066418,2400.264
1,49066419,2363.789
1,49066420,2450.814
1,49066422,2583.365
1,49066425,2622.636
1,49066617,3311.09
1,48935639,2487.618
1,49066931,2415.058
1,49066937,2538.132
1,49067160,1004.927
1,49067162,1143.358
1,49067174,2165.706
1,49067177,2080.003
1,49460408,3372.927
1,49460412,3176.643
1,49460414,3120.352
1,49460416,3049.771
1,49460424,2869.316
1,49460434,2464.348
1,49460436,2430.435
1,49460451,1954.43
1,49460462,1648.664
1,49460465,1546.043
1,49460469,1288.213
1,49460485,1480.215
1,49460495,1730.542
1,49460520,2739.469
1,49460545,3482.242
1,49526508,3406.461
1,49526521,3267.051
1,49067879,869.325
1,49067882,1055.282
1,49067909,3273.873
1,49067916,3097.766
1,49002572,3091.374
1,49002573,3222.7
1,49264730,2292.482
1,49461454,1090.663
1,1715714574,1575.362
1,49090651,2720.82
1,2138487861,2308.001
1,2138487858,2284.342
1,5692636223,2629.221
1,5692636222,2635.873
1,5915327986,1743.1
1,49594230,2658.779
1,49659926,2925.761
1,49659940,2113.21
1,49398091,3589.211
1,49463658,3027.087
1,49463688,2931.914
1,304923271,3074.868
1,304923638,2935.664
